org.apache.camel.Body	MemberReference,MemberReference
org.apache.camel.builder.xml.DomResultHandler	DomResultHandler,ReferenceType,VariableDeclarator,DOMResult,ReferenceType,getResult,ReferenceType,ReturnStatement,MemberReference,setBody,in,ReferenceType,StatementExpression,setBody(),getNode(),ReferenceType
org.apache.camel.builder.xml.InvalidXPathExpression	InvalidXPathExpression,ReferenceType,VariableDeclarator,InvalidXPathExpression,xpath,ReferenceType,e,ReferenceType,StatementExpression,MemberReference,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,getXpath,ReferenceType,ReturnStatement,MemberReference,ReferenceType
org.apache.camel.builder.xml.MessageVariableResolver	MessageVariableResolver,ReferenceType,VariableDeclarator,getLog(),ReferenceType,ReferenceType,VariableDeclarator,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,HashMap,ReferenceType,ReferenceType,ReferenceType,getExchange,ReferenceType,ReturnStatement,MemberReference,setExchange,exchange,ReferenceType,StatementExpression,MemberReference,MemberReference,resolveVariable,ReferenceType,name,ReferenceType,ReferenceType,VariableDeclarator,getNamespaceURI(),ReferenceType,VariableDeclarator,getLocalPart(),ReferenceType,VariableDeclarator,IfStatement,MemberReference,length(),BlockStatement,StatementExpression,MemberReference,get(),MemberReference,IfStatement,MemberReference,BlockStatement,ReferenceType,VariableDeclarator,getIn(),IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,getHeader(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,getProperty(),MemberReference,IfStatement,equals(),MemberReference,BlockStatement,TryStatement,StatementExpression,MemberReference,getProperty(),MemberReference,CatchClause,e,StatementExpression,debug(),MemberReference,MemberReference,MemberReference,IfStatement,equals(),MemberReference,BlockStatement,StatementExpression,MemberReference,getenv(),get(),MemberReference,IfStatement,equals(),MemberReference,BlockStatement,StatementExpression,MemberReference,getProperty(),MemberReference,IfStatement,equals(),MemberReference,BlockStatement,StatementExpression,MemberReference,getIn(),getHeader(),MemberReference,IfStatement,equals(),MemberReference,BlockStatement,StatementExpression,MemberReference,getOut(),getHeader(),MemberReference,ReturnStatement,MemberReference,addVariable,localPart,ReferenceType,value,ReferenceType,StatementExpression,put(),MemberReference,MemberReference,ReferenceType
org.apache.camel.builder.xml.NamespaceBuilder	NamespaceBuilder,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,HashMap,ReferenceType,ReferenceType,ReferenceType,namespaceContext,ReferenceType,ReturnStatement,NamespaceBuilder,ReferenceType,namespaceContext,ReferenceType,prefix,ReferenceType,uri,ReferenceType,ReturnStatement,NamespaceBuilder,namespace(),MemberReference,MemberReference,ReferenceType,namespace,ReferenceType,prefix,ReferenceType,uri,ReferenceType,StatementExpression,put(),MemberReference,MemberReference,ReturnStatement,xpath,ReferenceType,xpath,ReferenceType,ReferenceType,VariableDeclarator,xpath(),MemberReference,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,entrySet(),ForStatement,EnhancedForControl,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,MemberReference,BlockStatement,StatementExpression,namespace(),getKey(),getValue(),ReturnStatement,MemberReference
org.apache.camel.builder.xml.ResultHandler	ResultHandler,getResult,ReferenceType,setBody,in,ReferenceType
org.apache.camel.builder.xml.StreamResultHandler	StreamResultHandler,ReferenceType,VariableDeclarator,ByteArrayOutputStream,ReferenceType,ReferenceType,VariableDeclarator,StreamResult,ReferenceType,MemberReference,getResult,ReferenceType,ReturnStatement,MemberReference,setBody,in,ReferenceType,StatementExpression,setBody(),toByteArray(),ReferenceType
org.apache.camel.builder.xml.StringResultHandler	StringResultHandler,ReferenceType,VariableDeclarator,StringWriter,ReferenceType,ReferenceType,VariableDeclarator,StreamResult,ReferenceType,MemberReference,getResult,ReferenceType,ReturnStatement,MemberReference,setBody,in,ReferenceType,StatementExpression,setBody(),toString(),ReferenceType
org.apache.camel.builder.xml.XPathBuilder	XPathBuilder,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,MessageVariableResolver,ReferenceType,xpath,ReferenceType,text,ReferenceType,ReturnStatement,XPathBuilder,ReferenceType,MemberReference,XPathBuilder,text,ReferenceType,StatementExpression,MemberReference,MemberReference,toString,ReferenceType,ReturnStatement,MemberReference,matches,BasicType,exchange,ReferenceType,ReferenceType,VariableDeclarator,evaluateAs(),MemberReference,MemberReference,ReturnStatement,toBoolean(),MemberReference,assertMatches,text,ReferenceType,exchange,ReferenceType,ReferenceType,VariableDeclarator,evaluateAs(),MemberReference,MemberReference,IfStatement,toBoolean(),MemberReference,BlockStatement,ThrowStatement,AssertionError,ReferenceType,MemberReference,MemberReference,evaluate,ReferenceType,exchange,ReferenceType,ReturnStatement,evaluateAs(),MemberReference,MemberReference,booleanResult,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,nodeResult,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,nodeSetResult,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,numberResult,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,stringResult,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,objectModel,ReferenceType,ReferenceType,uri,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,functionResolver,ReferenceType,ReferenceType,functionResolver,ReferenceType,StatementExpression,MemberReference,MemberReference,ReturnStatement,namespace,ReferenceType,ReferenceType,prefix,ReferenceType,uri,ReferenceType,StatementExpression,getNamespaceContext(),add(),MemberReference,MemberReference,ReturnStatement,variable,ReferenceType,ReferenceType,name,ReferenceType,value,ReferenceType,StatementExpression,addVariable(),MemberReference,MemberReference,ReturnStatement,getXPathFactory,ReferenceType,IfStatement,MemberReference,BlockStatement,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,newInstance(),MemberReference,StatementExpression,MemberReference,newInstance(),ReturnStatement,MemberReference,setXPathFactory,xpathFactory,ReferenceType,StatementExpression,MemberReference,MemberReference,getDocumentType,ReferenceType,ReturnStatement,MemberReference,setDocumentType,documentType,ReferenceType,StatementExpression,MemberReference,MemberReference,getText,ReferenceType,ReturnStatement,MemberReference,getResultType,ReferenceType,ReturnStatement,MemberReference,getNamespaceContext,ReferenceType,IfStatement,MemberReference,BlockStatement,TryStatement,StatementExpression,MemberReference,DefaultNamespaceContext,ReferenceType,getXPathFactory(),CatchClause,e,ThrowStatement,RuntimeExpressionException,ReferenceType,MemberReference,ReturnStatement,MemberReference,setNamespaceContext,namespaceContext,ReferenceType,StatementExpression,MemberReference,MemberReference,getFunctionResolver,ReferenceType,ReturnStatement,MemberReference,setFunctionResolver,functionResolver,ReferenceType,StatementExpression,MemberReference,MemberReference,getExpression,ReferenceType,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,createXPathExpression(),ReturnStatement,MemberReference,setNamespacesFromDom,node,ReferenceType,StatementExpression,getNamespaceContext(),setNamespacesFromDom(),MemberReference,evaluateAs,ReferenceType,exchange,ReferenceType,resultType,ReferenceType,StatementExpression,setExchange(),MemberReference,TryStatement,ReferenceType,VariableDeclarator,getDocument(),MemberReference,IfStatement,MemberReference,BlockStatement,IfStatement,MemberReference,ReferenceType,BlockStatement,ReferenceType,VariableDeclarator,ReferenceType,MemberReference,ReturnStatement,getExpression(),evaluate(),MemberReference,MemberReference,BlockStatement,ReturnStatement,getExpression(),evaluate(),MemberReference,MemberReference,BlockStatement,IfStatement,MemberReference,ReferenceType,BlockStatement,ReferenceType,VariableDeclarator,ReferenceType,MemberReference,ReturnStatement,getExpression(),evaluate(),MemberReference,BlockStatement,ReturnStatement,getExpression(),evaluate(),MemberReference,CatchClause,e,ThrowStatement,InvalidXPathExpression,ReferenceType,getText(),MemberReference,CatchClause,e,ThrowStatement,InvalidXPathExpression,ReferenceType,getText(),MemberReference,createXPathExpression,ReferenceType,ReferenceType,VariableDeclarator,getXPathFactory(),newXPath(),StatementExpression,MemberReference,StatementExpression,setNamespaceContext(),getNamespaceContext(),StatementExpression,setXPathVariableResolver(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,setXPathFunctionResolver(),MemberReference,ReturnStatement,compile(),MemberReference,getDocument,ReferenceType,exchange,ReferenceType,ReferenceType,VariableDeclarator,getIn(),ReferenceType,VariableDeclarator,getDocumentType(),ReferenceType,VariableDeclarator,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,getBody(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,getBody(),IfStatement,MemberReference,ReferenceType,BlockStatement,StatementExpression,MemberReference,InputSource,ReferenceType,StringReader,ReferenceType,toString(),ReturnStatement,MemberReference,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType
org.apache.camel.builder.xml.XsltBuilder	XsltBuilder,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,HashMap,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,XmlConverter,ReferenceType,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,StringResultHandler,ReferenceType,BasicType,VariableDeclarator,XsltBuilder,XsltBuilder,transformer,ReferenceType,StatementExpression,MemberReference,MemberReference,toString,ReferenceType,ReturnStatement,MemberReference,process,exchange,ReferenceType,ReferenceType,VariableDeclarator,getTransformer(),IfStatement,MemberReference,BlockStatement,ThrowStatement,IllegalArgumentException,ReferenceType,StatementExpression,configureTransformer(),MemberReference,MemberReference,ReferenceType,VariableDeclarator,getSource(),MemberReference,ReferenceType,VariableDeclarator,getResult(),StatementExpression,transform(),MemberReference,MemberReference,StatementExpression,setBody(),getIn(),xslt,ReferenceType,transformer,ReferenceType,ReturnStatement,XsltBuilder,ReferenceType,MemberReference,xslt,ReferenceType,xslt,ReferenceType,StatementExpression,notNull(),MemberReference,ReferenceType,VariableDeclarator,XsltBuilder,ReferenceType,StatementExpression,setTransformerSource(),MemberReference,ReturnStatement,MemberReference,xslt,ReferenceType,xslt,ReferenceType,StatementExpression,notNull(),MemberReference,ReturnStatement,xslt(),StreamSource,ReferenceType,MemberReference,xslt,ReferenceType,xslt,ReferenceType,StatementExpression,notNull(),MemberReference,ReturnStatement,xslt(),openStream(),xslt,ReferenceType,xslt,ReferenceType,StatementExpression,notNull(),MemberReference,ReturnStatement,xslt(),StreamSource,ReferenceType,MemberReference,outputBytes,ReferenceType,StatementExpression,setResultHandler(),StreamResultHandler,ReferenceType,ReturnStatement,outputString,ReferenceType,StatementExpression,setResultHandler(),StringResultHandler,ReferenceType,ReturnStatement,outputDOM,ReferenceType,StatementExpression,setResultHandler(),DomResultHandler,ReferenceType,ReturnStatement,parameter,ReferenceType,name,ReferenceType,value,ReferenceType,StatementExpression,put(),MemberReference,MemberReference,ReturnStatement,getParameters,ReferenceType,ReferenceType,ReferenceType,ReturnStatement,MemberReference,setParameters,parameters,ReferenceType,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,getTransformer,ReferenceType,ReturnStatement,MemberReference,setTransformer,transformer,ReferenceType,StatementExpression,MemberReference,MemberReference,isFailOnNullBody,BasicType,ReturnStatement,MemberReference,setFailOnNullBody,failOnNullBody,BasicType,StatementExpression,MemberReference,MemberReference,getResultHandler,ReferenceType,ReturnStatement,MemberReference,setResultHandler,resultHandler,ReferenceType,StatementExpression,MemberReference,MemberReference,setTransformerSource,source,ReferenceType,StatementExpression,setTransformer(),getTransformerFactory(),newTransformer(),MemberReference,getSource,ReferenceType,exchange,ReferenceType,ReferenceType,VariableDeclarator,getIn(),ReferenceType,VariableDeclarator,getBody(),ReferenceType,IfStatement,MemberReference,BlockStatement,IfStatement,isFailOnNullBody(),BlockStatement,ThrowStatement,ExpectedBodyTypeException,ReferenceType,MemberReference,ReferenceType,BlockStatement,TryStatement,StatementExpression,MemberReference,toSource(),createDocument(),CatchClause,e,ThrowStatement,RuntimeTransformException,ReferenceType,MemberReference,ReturnStatement,MemberReference,configureTransformer,transformer,ReferenceType,exchange,ReferenceType,StatementExpression,clearParameters(),StatementExpression,addParameters(),MemberReference,getProperties(),StatementExpression,addParameters(),MemberReference,getIn(),getHeaders(),StatementExpression,addParameters(),MemberReference,getParameters(),StatementExpression,setParameter(),MemberReference,StatementExpression,setParameter(),getIn(),StatementExpression,setParameter(),getOut(),addParameters,transformer,ReferenceType,map,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,entrySet(),ForStatement,EnhancedForControl,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,MemberReference,BlockStatement,StatementExpression,setParameter(),getKey(),getValue(),ReferenceType
org.apache.camel.component.activemq.ActiveMQComponent	ActiveMQComponent,activeMQComponent,ReferenceType,ReturnStatement,ActiveMQComponent,ReferenceType,activeMQComponent,ReferenceType,brokerURL,ReferenceType,ReferenceType,VariableDeclarator,ActiveMQComponent,ReferenceType,StatementExpression,getConfiguration(),setBrokerURL(),MemberReference,ReturnStatement,MemberReference,ActiveMQComponent,ActiveMQComponent,context,ReferenceType,StatementExpression,MemberReference,ActiveMQComponent,configuration,ReferenceType,StatementExpression,MemberReference,getConfiguration,ReferenceType,ReturnStatement,ReferenceType,getConfiguration(),setBrokerURL,brokerURL,ReferenceType,StatementExpression,getConfiguration(),setBrokerURL(),MemberReference,createConfiguration,ReferenceType,ReturnStatement,ActiveMQConfiguration,ReferenceType,ReferenceType
org.apache.camel.component.activemq.ActiveMQConfiguration	ActiveMQConfiguration,ReferenceType,VariableDeclarator,MemberReference,ActiveMQConfiguration,getBrokerURL,ReferenceType,ReturnStatement,MemberReference,setBrokerURL,brokerURL,ReferenceType,StatementExpression,MemberReference,MemberReference,getListenerConnectionFactory,ReferenceType,ReturnStatement,ReferenceType,getListenerConnectionFactory(),setListenerConnectionFactory,listenerConnectionFactory,ReferenceType,IfStatement,MemberReference,ReferenceType,BlockStatement,StatementExpression,setListenerConnectionFactory(),MemberReference,BlockStatement,ThrowStatement,IllegalArgumentException,ReferenceType,MemberReference,getName(),ReferenceType,createListenerConnectionFactory,ReferenceType,ReferenceType,VariableDeclarator,ActiveMQConnectionFactory,ReferenceType,StatementExpression,setBrokerURL(),getBrokerURL(),ReturnStatement,MemberReference,createTemplateConnectionFactory,ReferenceType,ReturnStatement,PooledConnectionFactory,ReferenceType,getListenerConnectionFactory(),ReferenceType
org.apache.camel.component.cxf.CxfBinding	CxfBinding,extractBodyFromCxf,ReferenceType,exchange,ReferenceType,message,ReferenceType,ReturnStatement,getBody(),MemberReference,getBody,ReferenceType,message,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,getContentFormats(),ForStatement,EnhancedForControl,ReferenceType,VariableDeclarator,MemberReference,BlockStatement,ReferenceType,VariableDeclarator,getContent(),MemberReference,IfStatement,MemberReference,BlockStatement,ReturnStatement,MemberReference,ReturnStatement,createCxfMessage,ReferenceType,exchange,ReferenceType,ReferenceType,VariableDeclarator,ReferenceType,getInMessage(),ReferenceType,VariableDeclarator,getIn(),ReferenceType,VariableDeclarator,getBody(),ReferenceType,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,getBody(),StatementExpression,setContent(),ReferenceType,MemberReference,ReturnStatement,MemberReference,storeCxfResponse,exchange,ReferenceType,response,ReferenceType,ReferenceType,VariableDeclarator,getOut(),IfStatement,MemberReference,BlockStatement,StatementExpression,setMessage(),MemberReference,StatementExpression,setBody(),getBody(),MemberReference,storeCxfResponse,exchange,ReferenceType,response,ReferenceType,ReferenceType,VariableDeclarator,getOut(),IfStatement,MemberReference,BlockStatement,StatementExpression,setBody(),MemberReference
org.apache.camel.component.cxf.CxfComponent	CxfComponent,ReferenceType,VariableDeclarator,CxfComponent,CxfComponent,context,ReferenceType,StatementExpression,MemberReference,createEndpoint,ReferenceType,ReferenceType,uri,ReferenceType,remaining,ReferenceType,parameters,ReferenceType,ReferenceType,VariableDeclarator,URI,ReferenceType,MemberReference,ReferenceType,VariableDeclarator,AddressType,ReferenceType,StatementExpression,setLocation(),MemberReference,StatementExpression,addExtensor(),MemberReference,ReturnStatement,CxfEndpoint,ReferenceType,MemberReference,MemberReference,getLocalTransportFactory,ReferenceType,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,findLocalTransportFactory(),IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,LocalTransportFactory,ReferenceType,ReturnStatement,MemberReference,setLocalTransportFactory,localTransportFactory,ReferenceType,StatementExpression,MemberReference,MemberReference,findLocalTransportFactory,ReferenceType,ReferenceType,VariableDeclarator,getDefaultBus(),ReferenceType,VariableDeclarator,getExtension(),ReferenceType,ReturnStatement,ReferenceType,getDestinationFactory(),MemberReference,ReferenceType,ReferenceType
org.apache.camel.component.cxf.CxfConsumer	CxfConsumer,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,CxfConsumer,endpoint,ReferenceType,processor,ReferenceType,transportFactory,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,doStart,StatementExpression,doStart(),StatementExpression,MemberReference,getDestination(),getEndpointInfo(),StatementExpression,setMessageObserver(),MessageObserver,ReferenceType,onMessage,message,ReferenceType,StatementExpression,incomingCxfMessage(),MemberReference,doStop,IfStatement,MemberReference,BlockStatement,StatementExpression,shutdown(),StatementExpression,doStop(),incomingCxfMessage,message,ReferenceType,TryStatement,ReferenceType,VariableDeclarator,createExchange(),MemberReference,StatementExpression,getProcessor(),process(),MemberReference,CatchClause,e,StatementExpression,printStackTrace(),ReferenceType,ReferenceType
org.apache.camel.component.cxf.CxfEndpoint	CxfEndpoint,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,BasicType,VariableDeclarator,CxfEndpoint,uri,ReferenceType,component,ReferenceType,endpointInfo,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,createProducer,ReferenceType,ReferenceType,ReturnStatement,CxfProducer,ReferenceType,getLocalTransportFactory(),createConsumer,ReferenceType,ReferenceType,processor,ReferenceType,ReturnStatement,CxfConsumer,ReferenceType,MemberReference,getLocalTransportFactory(),createExchange,ReferenceType,ReturnStatement,CxfExchange,ReferenceType,getContext(),getBinding(),createExchange,ReferenceType,inMessage,ReferenceType,ReturnStatement,CxfExchange,ReferenceType,getContext(),getBinding(),MemberReference,getBinding,ReferenceType,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,CxfBinding,ReferenceType,ReturnStatement,MemberReference,setBinding,binding,ReferenceType,StatementExpression,MemberReference,MemberReference,isInOut,BasicType,ReturnStatement,MemberReference,setInOut,inOut,BasicType,StatementExpression,MemberReference,MemberReference,getLocalTransportFactory,ReferenceType,ReturnStatement,getLocalTransportFactory(),getEndpointInfo,ReferenceType,ReturnStatement,MemberReference,getComponent,ReferenceType,ReturnStatement,MemberReference,isSingleton,BasicType,ReturnStatement,ReferenceType,ReferenceType
org.apache.camel.component.cxf.CxfExchange	CxfExchange,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,CxfExchange,context,ReferenceType,binding,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,MemberReference,CxfExchange,context,ReferenceType,binding,ReferenceType,exchange,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,setIn(),CxfMessage,ReferenceType,getInMessage(),StatementExpression,setOut(),CxfMessage,ReferenceType,getOutMessage(),StatementExpression,setFault(),CxfMessage,ReferenceType,getInFaultMessage(),CxfExchange,context,ReferenceType,binding,ReferenceType,inMessage,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,getExchange(),StatementExpression,setIn(),CxfMessage,ReferenceType,MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,setOut(),CxfMessage,ReferenceType,getOutMessage(),StatementExpression,setFault(),CxfMessage,ReferenceType,getInFaultMessage(),getIn,ReferenceType,ReturnStatement,ReferenceType,getIn(),getOut,ReferenceType,ReturnStatement,ReferenceType,getOut(),getOut,ReferenceType,lazyCreate,BasicType,ReturnStatement,ReferenceType,getOut(),MemberReference,getFault,ReferenceType,ReturnStatement,ReferenceType,getFault(),getBinding,ReferenceType,ReturnStatement,MemberReference,getExchange,ReferenceType,ReturnStatement,MemberReference,getInMessage,ReferenceType,ReturnStatement,getIn(),getMessage(),getOutMessage,ReferenceType,ReturnStatement,getOut(),getMessage(),getOutFaultMessage,ReferenceType,ReturnStatement,getExchange(),getOutFaultMessage(),getInFaultMessage,ReferenceType,ReturnStatement,getExchange(),getInFaultMessage(),getDestination,ReferenceType,ReturnStatement,getExchange(),getDestination(),getConduit,ReferenceType,message,ReferenceType,ReturnStatement,getExchange(),getConduit(),MemberReference,createInMessage,ReferenceType,ReturnStatement,CxfMessage,ReferenceType,createOutMessage,ReferenceType,ReturnStatement,CxfMessage,ReferenceType,ReferenceType
org.apache.camel.component.cxf.CxfInvokeComponent	CxfInvokeComponent,ReferenceType,VariableDeclarator,CxfInvokeComponent,StatementExpression,MemberReference,getDefaultBus(),CxfInvokeComponent,context,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,getDefaultBus(),createEndpoint,ReferenceType,ReferenceType,uri,ReferenceType,remaining,ReferenceType,parameters,ReferenceType,ReturnStatement,CxfInvokeEndpoint,ReferenceType,getAddress(),MemberReference,getQueryAsProperties(),URI,ReferenceType,MemberReference,getQueryAsProperties,ReferenceType,u,ReferenceType,ReferenceType,VariableDeclarator,Properties,ReferenceType,IfStatement,getQuery(),BlockStatement,ReferenceType,VariableDeclarator,getQuery(),split(),ForStatement,ForControl,BasicType,VariableDeclarator,MemberReference,MemberReference,MemberReference,BlockStatement,ReferenceType,VariableDeclarator,MemberReference,MemberReference,split(),StatementExpression,put(),MemberReference,MemberReference,ReturnStatement,MemberReference,getAddress,ReferenceType,uri,ReferenceType,BasicType,VariableDeclarator,indexOf(),IfStatement,MemberReference,BlockStatement,ReturnStatement,substring(),MemberReference,ReturnStatement,MemberReference,getBus,ReferenceType,ReturnStatement,MemberReference,ReferenceType,ReferenceType
org.apache.camel.component.cxf.CxfInvokeConsumer	CxfInvokeConsumer,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,CxfInvokeConsumer,endpoint,ReferenceType,processor,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,doStart,StatementExpression,doStart(),IfStatement,MemberReference,BlockStatement,ReferenceType,VariableDeclarator,ServerFactoryBean,ReferenceType,StatementExpression,setAddress(),getEndpoint(),getEndpointUri(),StatementExpression,setServiceClass(),forName(),getProperty(),MemberReference,StatementExpression,setBus(),getBus(),StatementExpression,MemberReference,ReferenceType,create(),StatementExpression,start(),doStop,IfStatement,MemberReference,BlockStatement,StatementExpression,stop(),StatementExpression,MemberReference,StatementExpression,doStop(),incomingCxfMessage,message,ReferenceType,TryStatement,ReferenceType,VariableDeclarator,createExchange(),MemberReference,StatementExpression,getProcessor(),process(),MemberReference,CatchClause,e,StatementExpression,printStackTrace(),ReferenceType,ReferenceType
org.apache.camel.component.cxf.CxfInvokeEndpoint	CxfInvokeEndpoint,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,BasicType,VariableDeclarator,ReferenceType,VariableDeclarator,CxfInvokeEndpoint,uri,ReferenceType,component,ReferenceType,properties,ReferenceType,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,createProducer,ReferenceType,ReferenceType,ReturnStatement,CxfInvokeProducer,ReferenceType,createConsumer,ReferenceType,ReferenceType,processor,ReferenceType,ReturnStatement,CxfInvokeConsumer,ReferenceType,MemberReference,createExchange,ReferenceType,ReturnStatement,CxfExchange,ReferenceType,getContext(),getBinding(),createExchange,ReferenceType,inMessage,ReferenceType,ReturnStatement,CxfExchange,ReferenceType,getContext(),getBinding(),MemberReference,getBinding,ReferenceType,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,CxfBinding,ReferenceType,ReturnStatement,MemberReference,setBinding,binding,ReferenceType,StatementExpression,MemberReference,MemberReference,isInOut,BasicType,ReturnStatement,MemberReference,setInOut,inOut,BasicType,StatementExpression,MemberReference,MemberReference,getComponent,ReferenceType,ReturnStatement,MemberReference,getProperty,ReferenceType,key,ReferenceType,ReturnStatement,getProperty(),MemberReference,getBus,ReferenceType,ReturnStatement,getBus(),isSingleton,BasicType,ReturnStatement,ReferenceType,ReferenceType
org.apache.camel.component.cxf.CxfInvokeProducer	CxfInvokeProducer,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,CxfInvokeProducer,endpoint,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,MemberReference,process,exchange,ReferenceType,ReferenceType,VariableDeclarator,toExchangeType(),MemberReference,StatementExpression,process(),MemberReference,StatementExpression,copyFrom(),MemberReference,process,exchange,ReferenceType,ReferenceType,VariableDeclarator,getIn(),getBody(),ReferenceType,ReferenceType,VariableDeclarator,TryStatement,StatementExpression,MemberReference,invoke(),getProperty(),MemberReference,toArray(),CatchClause,e,ThrowStatement,RuntimeCamelException,ReferenceType,MemberReference,ReferenceType,VariableDeclarator,getBinding(),StatementExpression,storeCxfResponse(),MemberReference,MemberReference,doStart,IfStatement,MemberReference,BlockStatement,ReferenceType,VariableDeclarator,ClientFactoryBean,ReferenceType,StatementExpression,setAddress(),getEndpoint(),getEndpointUri(),StatementExpression,setBus(),getBus(),StatementExpression,setServiceClass(),forName(),getProperty(),MemberReference,StatementExpression,MemberReference,create(),doStop,IfStatement,MemberReference,BlockStatement,StatementExpression,getConduit(),close(),StatementExpression,MemberReference,StatementExpression,doStop(),ReferenceType
org.apache.camel.component.cxf.CxfMessage	CxfMessage,ReferenceType,VariableDeclarator,CxfMessage,StatementExpression,MessageImpl,ReferenceType,CxfMessage,cxfMessage,ReferenceType,StatementExpression,MemberReference,MemberReference,toString,ReferenceType,IfStatement,MemberReference,BlockStatement,ReturnStatement,MemberReference,BlockStatement,ReturnStatement,getBody(),getExchange,ReferenceType,ReturnStatement,ReferenceType,getExchange(),getMessage,ReferenceType,ReturnStatement,MemberReference,setMessage,cxfMessage,ReferenceType,StatementExpression,MemberReference,MemberReference,getHeader,ReferenceType,name,ReferenceType,ReturnStatement,get(),MemberReference,setHeader,name,ReferenceType,value,ReferenceType,StatementExpression,put(),MemberReference,MemberReference,getHeaders,ReferenceType,ReferenceType,ReferenceType,ReturnStatement,MemberReference,newInstance,ReferenceType,ReturnStatement,CxfMessage,ReferenceType,createBody,ReferenceType,ReturnStatement,getExchange(),getBinding(),extractBodyFromCxf(),getExchange(),MemberReference,ReferenceType
